Artifact Creator | Model Run | Log | ENTROPY_PRECISION | MODEL_EDGE_COUNT | TRACE_RATIO_GOWER_3 | STRUCTURAL_SIMPLICITY_EDGE_COUNT | TRACE_PROBMASS_OVERLAP | TRACE_RATIO_GOWER_2 | EARTH_MOVERS_LIGHT_COVERAGE | LOG_TRACE_COUNT | ENTROPY_RECALL | EARTH_MOVERS_TRACEWISE | STRUCTURAL_SIMPLICITY_ENTITY_COUNT | TRACE_RATIO_GOWER_4 | TRACE_OVERLAP_RATIO | TRACE_GENERALIZATION_FLOOR_1 | TRACE_GENERALIZATION_DIFF_UNIQ | MODEL_ENTITY_COUNT | EVENT_RATIO_GOWER | TRACE_GENERALIZATION_FLOOR_10 | STRUCTURAL_SIMPLICITY_STOCHASTIC | LOG_EVENT_COUNT | ENTROPY_FITNESS_TRACEWISE | ENTROPY_PRECISION_TRACEWISE | TRACE_GENERALIZATION_FLOOR_5 | Run file | Machine | 
predef-fe-inductive | predef-fe-inductive | BPIC2013 closed |      | 10.0 | 0.04353054660608577 | 0.9453551912568307 | 0.304640215198386 | 0.2008468030625922 |      | 1487 |      | 0.30464021519838413 | 0.9508196721311475 | 0.014098849844277847 | 0.304640215198386 | 0.38601210490921317 | 0.3012777404169469 | 9.0 | 0.5631456050519992 | 0.3846671149966375 | 0.8797814207650273 | 6660 | 0.18375832851602195 | 0.25761585800464437 | 0.3846671149966375 | mrun_BPIC2013_closed_predef-fe-inductive_20210624-120901.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-fe-split | predef-fe-split | BPIC2013 closed |      | 20.0 | 0.07162887816169987 | 0.8907103825136612 | 0.09347679892400804 | 0.11159447516341195 |      | 1487 |      | 0.09347679892400518 | 0.907103825136612 | 0.0867072860589574 | 0.09347679892400806 | 0.699394754539341 | 0.08607935440484196 | 17.0 | 0.44790082148835647 | 0.6906523201075991 | 0.7595628415300546 | 6660 | 0.10154912883851407 | 0.28118946965797526 | 0.6940147948890383 | mrun_BPIC2013_closed_predef-fe-split_20210624-120901.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-msaprh-fodina | predef-msaprh-fodina | BPIC2013 closed |      | 14.0 | 0.0 | 0.9234972677595629 | 0.0 | 0.0 |      | 1487 |      | -3.1086244689504383E-15 | 0.9344262295081968 | 0.0 | 0.0 | 0.0 | 0.0 | 12.0 | 0.0 | 0.0 | 0.819672131147541 | 6660 | -0.0 | 0.0 | 0.0 | mrun_BPIC2013_closed_predef-msaprh-fodina_20210624-120901.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-msaprh-inductive | predef-msaprh-inductive | BPIC2013 closed |      | 10.0 | 0.04277785494547992 | 0.9453551912568307 | 0.3860121049092132 | 0.2153234706638973 |      | 1487 |      | 0.38601210490921145 | 0.9508196721311475 | 0.012833634584934955 | 0.38601210490921317 | 0.38601210490921317 | 0.38264963012777403 | 9.0 | 0.7404305058987624 | 0.3846671149966375 | 0.8579234972677596 | 6660 | 0.19041587310647573 | 0.5244407242169199 | 0.3846671149966375 | mrun_BPIC2013_closed_predef-msaprh-inductive_20210624-120901.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-msaprh-split | predef-msaprh-split | BPIC2013 closed |      | 20.0 | 0.19841903152669182 | 0.8907103825136612 | 0.6227303295225289 | 0.2911755724986175 |      | 1487 |      | 0.6227303295225285 | 0.907103825136612 | 0.1685716039152787 | 0.6227303295225286 | 0.8607935440484197 | 0.5891055817081372 | 17.0 | 0.5048441360457405 | 0.7962340282447882 | 0.7595628415300546 | 6660 | 0.4843282257356288 | 0.37496661218867183 | 0.8291862811028917 | mrun_BPIC2013_closed_predef-msaprh-split_20210624-120901.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-rssmt | predef-rssmt | BPIC2013 closed |      | 38.0 | 0.08972445549133136 | 0.7923497267759563 | 0.005379959650302623 | 0.12799826168617479 |      | 1487 |      | 0.005379959650299582 | 0.8306010928961749 | 0.03850665531509785 | 0.005379959650302623 | 0.15601882985877605 | 0.0033624747814391394 | 31.0 | 0.43263572623932334 | 0.1546738399462004 | 0.5191256830601093 | 6660 | 0.01101407470023387 | 0.011573037820708934 | 0.1546738399462004 | mrun_BPIC2013_closed_predef-rssmt_20210624-120902.xml | cl4n020.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m1 | BPIC2013 closed |      | 202.0 | 0.10491843247383721 | 0.0 | 0.0 | 0.11432033648713313 |      |      |      | -1.9984014443252818E-15 | 0.180327868852459 | 0.038983259696801977 | 0.0 | 0.0 | 0.0 | 150.0 | 0.42288760844690465 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m2 | BPIC2013 closed |      | 194.0 | 0.0571203786421547 | 0.0 | 0.0 | 0.07557270605127275 |      |      |      | -1.3322676295501878E-15 | 0.14754098360655743 | 0.04441665129449722 | 0.0 | 0.0 | 0.0 | 156.0 | 0.4213845668819629 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m3 | BPIC2013 closed |      | 144.0 | 0.04073745034117202 | 0.21311475409836067 | 0.003362474781439139 | 0.05372690008473764 |      |      |      | 0.0033624747814379186 | 0.41530054644808745 | 0.019478289743329272 | 0.0033624747814391394 | 0.33221250840618693 | 0.0020174848688634837 | 107.0 | 0.37211731597814 | 0.33154001344989914 | 0.0 |      | 0.007154940528253819 | 0.004197993793764907 | 0.33154001344989914 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m4 | BPIC2013 closed |      | 408.0 | 0.06865737942708061 | 0.0 | 6.724949562878278E-4 | 0.14132832802623846 |      |      |      | 6.724949562852967E-4 | 0.0 | 0.03341068945422544 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 321.0 | 0.4895686683538169 | 0.0 | 0.0 |      | 0.0016871452518519108 | 6.848708933457309E-4 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
